,trial_num,expression,expr_onset,expr_dura,expr_offset,choice,choi_onset,choi_dura,choi_offset,blank,blank_onset,blank_offset,blank_dura,correct_ans,i_trial_onset,trial_onset,choice_onset,blank_r_onset,RT,correct,KeyPress
0,57,16  +  9,0,1.45,199.45,23        25,199.45,1.45,200.9, ,200.9,201,0.1,2,15.0,15.029203599995526,16.472871300000406,17.931549999993877,None,False,None
1,3,14  +  8,3,1.45,7.45,22        20,7.45,1.45,8.9, ,8.9,9,0.1,1,18.0,17.994213999998465,19.438488899999356,20.89673689999472,None,False,None
2,59,19  +  5,6,1.45,205.45,22        24,205.45,1.45,206.9, ,206.9,207,0.1,2,21.0,21.001287799997954,22.445647399996233,23.9032836999977,None,False,None
3,62,14  +  9,9,1.45,229.45,23        25,229.45,1.45,230.9, ,230.9,231,0.1,1,24.0,23.99359989999357,25.438850999998976,26.896462499993504,None,False,None
4,38,19  +  8,12,1.45,127.45,25        27,127.45,1.45,128.9, ,128.9,129,0.1,2,27.0,26.993624199996702,28.438626899995143,29.897206499997992,None,False,None
5,79,13  +  9,15,1.45,280.45,24        22,280.45,1.45,281.9, ,281.9,282,0.1,2,30.0,29.99407169999904,31.43863639999472,32.8966053999975,None,False,None
6,65,16  +  6,18,1.45,238.45,20        22,238.45,1.45,239.9, ,239.9,240,0.1,2,33.0,32.99400809999497,34.438576399996236,35.89702679999755,None,False,None
7,51,18  +  6,21,1.45,181.45,24        22,181.45,1.45,182.9, ,182.9,183,0.1,1,36.0,35.99436799999967,37.43860660000064,38.89687859999685,None,False,None
8,34,18  +  8,24,1.45,115.45,24        26,115.45,1.45,116.9, ,116.9,117,0.1,2,39.0,38.99392619999708,40.43972049999866,41.89682999999786,None,False,None
9,16,17  +  9,27,1.45,46.45,26        28,46.45,1.45,47.9, ,47.9,48,0.1,1,42.0,41.996766399999615,43.44564589999936,44.90390469999693,None,False,None
10,78,17  +  7,30,1.45,277.45,22        24,277.45,1.45,278.9, ,278.9,279,0.1,2,45.0,44.99382869999681,46.43881439999677,47.896734999994806,None,False,None
11,33,18  +  6,33,1.45,112.45,24        26,112.45,1.45,113.9, ,113.9,114,0.1,1,48.0,47.99408549999498,49.43857349999598,50.8977292999989,None,False,None
12,40,18  +  8,36,1.45,133.45,26        24,133.45,1.45,134.9, ,134.9,135,0.1,1,51.0,50.99473569999827,52.43837709999934,53.89675969999371,None,False,None
13,37,17  +  6,39,1.45,124.45,23        25,124.45,1.45,125.9, ,125.9,126,0.1,1,54.0,53.99454429999605,55.43871229999786,56.89677919999667,None,False,None
14,26,16  +  5,42,1.45,91.45,21        19,91.45,1.45,92.9, ,92.9,93,0.1,1,57.0,56.99405219999608,58.43860270000005,59.89693379999517,None,False,None
15,14,16  +  8,45,1.45,40.45,22        24,40.45,1.45,41.9, ,41.9,42,0.1,2,60.0,59.994160700000066,61.439365699996415,62.896966199994495,None,False,None
16,5,16  +  9,48,1.45,13.45,23        25,13.45,1.45,14.9, ,14.9,15,0.1,2,63.0,62.994112499996845,64.43872449999617,65.89689429999999,None,False,None
17,44,18  +  5,51,1.45,160.45,21        23,160.45,1.45,161.9, ,161.9,162,0.1,2,66.0,65.9942385999966,67.43955199999618,68.89712270000018,None,False,None
18,21,18  +  3,54,1.45,76.45,23        21,76.45,1.45,77.9, ,77.9,78,0.1,2,69.0,68.99433379999391,70.43894139999611,71.89694279999821,None,False,None
19,6,17  +  7,57,1.45,16.45,24        22,16.45,1.45,17.9, ,17.9,18,0.1,1,72.0,71.99438389999705,73.43921659999614,74.89705309999408,None,False,None
